å glede (seg),gleder (seg),gledet (seg),har sledet (seg),look forward to
å glemme,glemmer,glemte,har glemt,forget
å gli,glir,glei / gled,har glidd,slide
å glippe,glipper,glapp,har glippet,flip, fail
å gløde,glør,glødde,har glødd,glow
å gratulere,gratulerer,gratulerte,har gratulert,congratulate
å grave,graver,gravde,har gravd,dig
å gre,grer,gredde,har gredd,comb hair
å greie, greier,greide,har greid,master
å grille,griller,grillet,har grillet,grill, barbecue
å grine,griner,grinte,har grint,weep, cry
å gripe,griper,greip,har grepet,catch, size, grasp
å gruble,grubler,grublet,har grublet,ponder, muse
å gråte,gråter,gråt,har grått,cry
å gyve,gyver,gøyv,har gøyvet / gyvde,fly at
å handle,handler,handlet,har handlet,act, shop, deal with
å hende,hender,hendte,har hendt,happen
å henge,henger,hengte,har hengt,hang
å hente,henter,hentet,har hentet,fetch, bring, collect
å herske,hersker,hersket,har hersket,govern, rule
å hete,heter,het / hette,har hett,be named
å hilse,hilser,hilste,har hilst,greetings
å hindre,hindrer,hindret,,
